"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Likes,Shares,Comments,Saves,Reach,Follows
18064241411002333,17841463162024025,zlata.jpeg,"Zlata Plotnikova","When a photo comes out looking 3D 👌🏻",0,"08/14/2025 07:42",https://www.instagram.com/p/DNVtT1iIlqH/,"IG image",,Lifetime,5221,44,0,11,2,685,0
17873638386402153,17841463162024025,zlata.jpeg,"Zlata Plotnikova","One of my proudest shots to date 🤩",0,"08/13/2025 04:45",https://www.instagram.com/p/DNS0PEVosHc/,"IG image",,Lifetime,5512,51,2,21,4,863,0
17889347103321692,17841463162024025,zlata.jpeg,"Zlata Plotnikova","Sense stimulation of the day 😍",0,"08/11/2025 04:53",https://www.instagram.com/p/DNNrkYyoOeS/,"IG image",,Lifetime,4976,20,0,4,2,630,0
18492930163071088,17841463162024025,zlata.jpeg,"Zlata Plotnikova","Love a good glute 🤩",0,"08/08/2025 04:45",https://www.instagram.com/p/DNF8NcnISFu/,"IG image",,Lifetime,7646,110,3,14,16,1877,0
17859597177465226,17841463162024025,zlata.jpeg,"Zlata Plotnikova","When in doubt - spray some water 😅






 #fitabs #abscheck #fitnessphotography #daylightstudio #londonfitness #femalefitness #leanphysique #abgoals #aestheticfitness #fitchick #femalephotographer #fitgirlvibes #strongcore #tonedabs #studiofitnessshoot #fitandfeminine #corestrength #fitnessaesthetic #fitmodel #absinspo #fitbody #fitnessmotivation #leanmuscle #editorialfitness #fitspo #femalepower #londonfitgirls #naturalphysique #fitnessinlondon #fitgirlenergy",0,"08/07/2025 11:05",https://www.instagram.com/p/DNEC8LrICiW/,"IG image",,Lifetime,5155,40,0,3,3,702,0
18073626772971482,17841400256640875,kate.athletics,Kate,,0,"08/07/2025 07:38",https://www.instagram.com/p/DNDrOXDsfjC/,"IG carousel",,Lifetime,7007,124,0,20,0,,
18170407162359120,17841401797663308,kirstytaylor_ifbbpro,"𝗞𝗜𝗥𝗦𝗧𝗬 𝗧𝗔𝗬𝗟𝗢𝗥 🩷","Just another day at the Gluteographer’s studio 🍑📸✨

@zlata.jpeg 📸
@makeoneup_ 💄

#glutes #gluteographer #gluteday #fitnessgirls",0,"08/07/2025 03:27",https://www.instagram.com/p/DNDOjhBIet3/,"IG image",,Lifetime,23233,215,2,11,0,,
18047680238537144,17841463162024025,zlata.jpeg,"Zlata Plotnikova","Attempt 2 with this post because some narc complained to IG and got it removed 🙄

P.S. will greatly appreciate your support in fighting the IG reports by commenting/sharing this post 🥹♥️



#fitgirl #glutegoals #fitnessmodel #bodygoals #bootycheck #aestheticfitness #fitspo #fitbabe #glutesfordays #strongisbeautiful #bodysuitstyle #fitnessphotography #bootylove #femaleathlete #gymbody #fitandfeminine #wellnesswarrior #glutesonpoint #fitfashion #femalefitnessmotivation #fitnessvibes #gymshoot #fitcurves #fitnessinspo #bootyfit #bodyaesthetic #tonedphysique #gluteworkout #fitnesseditorial",0,"08/06/2025 11:55",https://www.instagram.com/p/DNBj3K6oOCf/,"IG image",,Lifetime,5481,109,0,17,27,1011,0
18097589128549744,17841404936555811,yasmin.huseyin,"Yasmin Hüseyin","Life’s too short to not do main character shit 😉

Agreed?
.
.
.
#maincharacter #maincharacterenergy #art #characterdesign #maincharactervibes #model #modelling #fitnessmodel #originalcharacter #artist #drawing #love #characterart #magic #mmorpg #magical #sketch #explorepage #modelpose #gamergirl #screenshot #sorceressbdo #life #istooshort #lifeisbeautiful #lifeistooshort  #fitnessmodelling #beautyalbum #bdogallery #sorceress",16,"08/06/2025 05:03",https://www.instagram.com/reel/DNA0TbfNEaP/,"IG reel",,Lifetime,3435,69,3,6,0,,
18039760214376685,17841463162024025,zlata.jpeg,"Zlata Plotnikova","Feminine energy 🤤








#fitandfeminine #strongnotskinny #leanphysique #fitmodelvibes #editorialfitness #femininepower #fitgirlsuk #absandcurves #daylightstudio #softaesthetic #muscleandfemininity #londongirlfitness #femalephysique #fitnesseditorial #bodyconfidence #femalefitnessmodel #fitnessportrait #modernfitness #femaleflex #fitnessaesthetic #fitnessart #studiofitnessshoot #loungefit #aestheticstrength #femalefitnessphotographer #femalephotographer #fitnessshootlondon #naturalphysique #fitinlingerie #fitreels",0,"08/06/2025 02:05",https://www.instagram.com/p/DNA3NUSRV37/,"IG image",,Lifetime,4580,45,0,6,6,613,0
18035570579453770,17841463162024025,zlata.jpeg,"Zlata Plotnikova","Yes, I do shoot boys too, pls don’t be scared to come for a shoot 🫶🏼",0,"08/05/2025 03:59",https://www.instagram.com/p/DM-Ilo-RiNe/,"IG image",,Lifetime,5129,36,0,6,0,720,0
18068083130165487,17841463162024025,zlata.jpeg,"Zlata Plotnikova","I’ve been ACHING for someone to finally to pull out this bikini colour 😍",0,"08/04/2025 06:30",https://www.instagram.com/p/DM71HPEI7KQ/,"IG image",,Lifetime,4865,47,1,11,1,822,0
18302706295223419,17841463162024025,zlata.jpeg,"Zlata Plotnikova","Gluteography in action 😤",0,"07/30/2025 23:03",https://www.instagram.com/p/DMwuv7FIKL7/,"IG image",,Lifetime,5027,43,1,7,1,864,0
18131081584439874,17841463162024025,zlata.jpeg,"Zlata Plotnikova","It’s break the internet o’clock 🍋 🛜",0,"07/25/2025 04:14",https://www.instagram.com/p/DMh1oBUoHlZ/,"IG image",,Lifetime,22114,273,0,38,22,4251,4
17991271895676403,17841463162024025,zlata.jpeg,"Zlata Plotnikova","How dreamy is this? 🤍",0,"07/24/2025 06:42",https://www.instagram.com/p/DMfhqjTR2fC/,"IG image",,Lifetime,5282,42,0,5,3,737,0
18169138165355102,17841463162024025,zlata.jpeg,"Zlata Plotnikova","Gonna take a short pause on reels so IG doesn’t come after me more often than I want to 😅",0,"07/23/2025 04:51",https://www.instagram.com/p/DMcwNkTI_Oi/,"IG image",,Lifetime,4999,37,0,7,3,647,0
